setting,task_name,model_id,model,data,root_path,data_path,features,target,freq,seq_len,label_len,pred_len,seasonal_patterns,inverse,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,factor,distil,dropout,embed,activation,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,itr,train_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,gpu_type,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,seed,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,patch_len,mae,mse,rmse,mape,mspe,dtw
long_term_forecast_ETTh1_96_336_PatchTST_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_336,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,336,Monthly,False,2,4,5,6,7,7,7,512,8,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4643408060073852,0.4782689213752746,0.6915699243545532,10.053865432739258,41014.5703125,Not calculated
long_term_forecast_ETTh1_96_720_PatchTST_ETTh1_ftM_sl96_ll48_pl720_dm512_nh16_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_720,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,720,Monthly,False,2,4,5,6,7,7,7,512,16,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.5063000321388245,0.5220447778701782,0.7225266695022583,12.389847755432127,59229.5078125,Not calculated
long_term_forecast_ETTh1_512_96_PatchTST_ETTh1_ftM_sl512_ll48_pl96_dm512_nh2_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_96,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,96,Monthly,False,2,4,5,6,7,7,7,512,2,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4190565943717956,0.3959183096885681,0.6292204260826111,11.08686637878418,47131.82421875,Not calculated
long_term_forecast_ETTh1_512_192_PatchTST_ETTh1_ftM_sl512_ll48_pl192_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_192,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,192,Monthly,False,2,4,5,6,7,7,7,512,8,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.466265857219696,0.4655952751636505,0.682345449924469,11.973316192626951,53759.2421875,Not calculated
long_term_forecast_ETTh1_512_336_PatchTST_ETTh1_ftM_sl512_ll48_pl336_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_336,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,336,Monthly,False,2,4,5,6,7,7,7,512,8,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4695714116096496,0.473768800497055,0.6883086562156677,12.127422332763672,58179.453125,Not calculated
long_term_forecast_ETTh1_512_720_PatchTST_ETTh1_ftM_sl512_ll48_pl720_dm512_nh16_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_512_720,PatchTST,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,512,48,720,Monthly,False,2,4,5,6,7,7,7,512,16,1,1,2048,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.5983768105506897,0.7240559458732605,0.8509147763252258,18.681421279907227,131363.25,Not calculated
long_term_forecast_ETTh1_96_96_TimesNet_ETTh1_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_96,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,96,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4120313823223114,0.3891045451164245,0.6237824559211731,10.658648490905762,42940.63671875,Not calculated
long_term_forecast_ETTh1_96_192_TimesNet_ETTh1_ftM_sl96_ll48_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_192,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,192,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4418206214904785,0.4396384060382843,0.6630523204803467,10.822210311889648,40334.7421875,Not calculated
long_term_forecast_ETTh1_96_336_TimesNet_ETTh1_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_336,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,336,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4708272814750671,0.4939534664154053,0.7028182148933411,10.265071868896484,39891.421875,Not calculated
long_term_forecast_ETTh1_96_720_TimesNet_ETTh1_ftM_sl96_ll48_pl720_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,long_term_forecast,ETTh1_96_720,TimesNet,ETTh1,./dataset/ETT-small/,ETTh1.csv,M,OT,h,96,48,720,Monthly,False,2,4,5,6,7,7,7,16,8,2,1,32,25,3,True,0.1,timeF,gelu,1,moving_avg,1,0,1,,96,10,1,10,32,3,0.0001,Exp,MSE,type1,False,True,0,cuda,False,"0,1,2,3","[128, 128]",2,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,16,0.4950664341449737,0.5183626413345337,0.7199740409851074,11.317546844482422,50451.98046875,Not calculated
